# Undirected graph: ../../data/output/amazon.ungraph.txt
# Amazon
# Nodes: 334863 Edges: 925872
# FromNodeId	ToNodeId
124	243477
124	302516
124	318491
124	320027
124	366784
176	131232
176	132531
176	132725
176	201855
176	321841
176	347858
176	533157
422	170849
422	451122
422	535138
443	30669
443	128705
443	139954
443	185636
443	216567
521	127332
521	169697
521	173687
521	174097
521	233313
521	235362
521	281396
521	289195
521	356349
521	404185
771	40104
771	280717
771	392919
771	491073
771	520135
771	530571
873	74023
873	183871
873	247194
873	255355
873	366253
873	466634
1105	2511
1105	270233
1105	512492
1105	543788
1200	152589
1200	189124
1200	226140
1200	256580
1200	330293
1200	354088
1200	354565
1547	45292
1547	45295
1547	53978
1547	60658
1547	103117
1547	103118
1547	103120
1547	120328
1547	351390
1547	484333
1547	504033
1547	536934
1585	148532
1585	300111
1585	335171
1585	481957
1602	330542
1602	382058
1602	417272
1602	425507
1758	24694
1758	81958
1758	209023
1758	213422
1806	35472
1806	49243
1806	49268
1806	158841
1806	164686
1806	321497
1806	376498
1806	393054
1806	528993
1965	8934
1965	167220
1965	353741
1965	530074
1978	4704
1978	239165
1978	353741
2486	458993
2503	92800
2503	386343
2503	510772
2511	29010
2511	48718
2511	88789
2511	111172
2511	303322
2511	342327
2511	415737
2511	502037
2625	71292
2625	164151
2625	168608
2625	395771
2625	419830
2625	433665
2625	467711
2797	15952
2797	129002
2797	140476
2797	348877
2797	412353
2797	463702
2797	472962
2797	480884
2797	497828
2797	499649
2797	501124
3120	101939
3120	246768
3120	276847
3120	362551
3120	436450
3373	13475
3373	50948
3373	54958
3373	339002
3373	393765
3373	520150
3833	33812
3833	73400
3833	98332
3833	131211
3833	306781
3833	343242
3841	74788
3841	353325
3841	377372
3841	377380
4092	104191
4092	128901
4092	341575
4092	389644
4092	413419
4355	23785
4355	32025
4355	422347
4355	469184
4389	49243
4389	267328
4389	321497
4389	376498
4389	393054
4389	405956
4704	8934
4704	530074
4804	26284
4804	49697
4804	84512
4804	91726
4804	123900
4804	354669
4804	518091
4829	26373
4829	49761
4829	73400
4829	74439
4829	131211
4829	335763
4829	494481
5197	35814
5197	57060
5197	57722
5197	75588
5197	181785
5197	338700
5197	352799
5197	352885
5197	418918
5238	168720
5238	229510
5238	406305
5238	445716
5238	494860
5338	10997
5338	29201
5338	42819
5338	185630
5338	319052
5338	423124
5384	110507
5384	110512
5384	110748
5384	192985
5384	372395
5384	432505
5582	47930
5582	193375
5582	329508
5582	335028
5582	350684
5582	374744
5582	492634
5582	495203
5747	87846
5747	143271
5747	156757
5747	278593
5747	390656
5747	492497
5747	503505
5829	98588
5829	118943
5829	143608
5829	444875
5829	541959
6170	81957
6170	121596
6170	187952
6170	215497
6170	256479
6170	273064
6170	337822
6170	345142
6170	368759
6170	393538
6170	446997
6170	470866
6170	495786
6170	505755
6579	335763
6579	412670
6579	432937
6579	452884
6579	494481
6596	124093
6596	134888
6596	154240
6596	300585
6596	367022
6596	399682
6633	49271
6633	175208
6633	339167
6633	479041
6688	80778
6688	174472
6688	262879
6688	416431
6688	452257
6971	281663
6971	491586
6971	492399
6971	535723
7083	143271
7083	181922
7083	239992
7083	390656
7099	360679
7099	523591
7630	79348
7630	300830
7630	314477
7630	366327
7630	541715
8285	80361
8285	336577
8285	336579
8285	346464
8285	430590
8285	520037
8926	73966
8926	83252
8926	123533
8926	147977
8926	504364
8926	505559
8934	37874
8934	68131
8934	158734
8934	158906
8934	167220
8934	229030
8934	239165
8934	247783
8934	353741
8934	384540
8934	530074
9179	144982
9179	182215
9179	213711
9179	434252
9179	483624
9323	111955
9323	213407
9323	352674
9323	502756
9762	16457
9762	196682
9762	214555
9762	216152
9762	542780
9762	542899
9869	203600
9869	226912
9869	236382
9869	276086
9869	276847
9869	341761
10180	85446
10180	208118
10180	323254
10180	382935
10180	519455
